cpu,memory,memory_swap_in,memory_swap_out,disk_request_read,disk_request_write,interface_bytes_in,interface_bytes_out,interface_packets_in,interface_packets_out,label,label2
55.71,214.0,0.0,0.0,0.0,0.39,339939.61,179878.76,5663.85,3097.55,1,1
56.75,214.0,0.0,0.0,0.0,0.4,302863.13,169552.39,5645.78,2878.77,1,1
54.49,214.0,0.0,0.0,0.0,0.41,318334.59,168337.36,5320.22,2646.07,1,1
49.62,214.0,0.0,0.0,0.0,3.53,312263.42,184845.87,6060.3,2918.59,1,1
51.66,214.0,0.0,0.0,0.0,0.41,317724.15,164232.1,5843.1,2930.29,1,1
47.41,214.0,0.0,0.0,0.0,0.42,304887.95,169885.61,5818.11,2910.07,1,1
43.72,214.0,0.0,0.0,0.0,0.4,304414.61,165227.01,5488.97,2857.78,1,1
55.93,214.0,0.0,0.0,0.0,0.4,305836.86,163274.97,6100.83,2784.56,1,1
52.19,214.0,0.0,0.0,0.0,6.91,312510.99,166397.34,5156.21,2601.79,1,1
53.7,214.0,0.0,0.0,0.0,1.02,305089.19,159129.95,5902.95,3106.15,1,1
54.98,214.0,0.0,0.0,0.0,0.4,301865.09,172675.65,5772.36,2834.34,1,1
54.73,214.0,0.0,0.0,0.0,0.4,294739.57,156229.77,5450.53,2833.25,1,1
49.78,214.0,0.0,0.0,0.0,0.62,307371.81,159538.87,5479.3,2793.34,1,1
45.27,214.0,0.0,0.0,0.0,5.5,300632.88,171491.67,6037.58,2814.89,1,1
50.27,214.0,0.0,0.0,0.0,0.38,293057.0,169705.68,5805.3,2701.15,1,1
